0.3799999, 0, 0, 20.90742, 3.724014, 0, 608.2542, -1780.662, -5.741346, 0.01966487, 0.1582343, 34.13833, 3.276824, 2.807283, 58.27727
0.5399998, -0.1590386, -0.02068883, 29.45979, 3.690834, 0.7813132980978319571466553991, 1359.883, -1786.488, -5.741346, 0.01966487, 0.1582343, 51.06107, 3.276824, 2.802239, 58.51669
 
0.5499998, -0.1610977, -0.02227921, 29.99035, 3.687106, 0.763395102030316237656, 1416.347, -1786.855, -5.741346, 0.01966487, 0.1582343, 52.11162, 3.276824, 2.801924, 58.53165
 
0.5599998, -0.1630441, -0.02389019, 30.52822, 3.689326, 0.7458924292206133599096553991, 1474.09, -1787.221, -5.741346, 0.01966487, 0.1582343, 53.16459, 3.276824, 2.801609, 58.54662
 
0.5699998, -0.164837, -0.02552063, 31.06539, 3.69131, 0.7287176721112299000136553991, 1532.913, -1787.588, -5.741346, 0.01966487, 0.1582343, 54.21634, 3.276824, 2.801293, 58.56158
 
0.5799997, -0.1664932, -0.027169, 31.60012, 3.69043, 0.711888137789571867911, 1592.916, -1787.954, -5.741346, 0.01966487, 0.1582343, 55.26868, 3.276824, 2.800978, 58.57655
 
0.5899997, -0.1679773, -0.02883393, 32.13058, 3.686688, 0.6953514455132292088416553991, 1653.885, -1788.322, -5.741346, 0.01966487, 0.1582343, 56.31794, 3.276824, 2.800663, 58.59151
 
0.5999997, -0.1693552, -0.03051371, 32.6771, 3.694873, 0.67912551500986396599, 1716.468, -1788.689, -5.741346, 0.01966487, 0.1582343, 57.37513, 3.276824, 2.800348, 58.60648
 
0.6099997, -0.1705378, -0.03220726, 33.22979, 3.708797, 0.6630506003311241385856553991, 1780.244, -1789.057, -5.741346, 0.01966487, 0.1582343, 58.43291, 3.276824, 2.800033, 58.62144
 
0.6199997, -0.171552, -0.03391264, 33.77123, 3.711027, 0.6471979209074811904416553991, 1845.215, -1789.425, -5.741346, 0.01966487, 0.1582343, 59.49128, 3.276824, 2.799717, 58.6364
 
0.6299997, -0.1723553, -0.03562816, 34.30123, 3.704173, 0.6315452685294333660636553991, 1911.034, -1789.793, -5.741346, 0.01966487, 0.1582343, 60.54474, 3.276824, 2.799402, 58.65137
 
0.6399997, -0.1729774, -0.03735171, 34.82783, 3.69444, 0.6161295547727727208013446009, 1977.919, -1790.161, -5.741346, 0.01966487, 0.1582343, 61.59693, 3.276824, 2.799087, 58.66633
 
0.6499997, -0.1734293, -0.03908149, 35.37559, 3.702643, 0.600891506692142967101, 2046.347, -1790.53, -5.741346, 0.01966487, 0.1582343, 62.65522, 3.276824, 2.798772, 58.6813
 
0.6599997, -0.1736458, -0.04081578, 35.9226, 3.710613, 0.5857436698901131577783446009, 2115.848, -1790.899, -5.741346, 0.01966487, 0.1582343, 63.71223, 3.276824, 2.798456, 58.69626
 
0.6699997, -0.1736942, -0.04255224, 36.47688, 3.721707, 0.570743173071135806039, 2187.039, -1791.268, -5.741346, 0.01966487, 0.1582343, 64.77719, 3.276824, 2.798141, 58.71122
 
0.6799996, -0.1734767, -0.04428918, 37.02684, 3.729934, 0.5557962822750943599483446009, 2259.188, -1791.637, -5.741346, 0.01966487, 0.1582343, 65.83904, 3.276824, 2.797826, 58.72619
 
0.6899996, -0.173057, -0.04602395, 37.56906, 3.729053, 0.540987082377976357048, 2332.671, -1792.007, -5.741346, 0.01966487, 0.1582343, 66.90333, 3.276824, 2.797511, 58.74115
 
0.6999996, -0.1723725, -0.04775452, 38.10981, 3.728172, 0.526257985195134196, 2407.102, -1792.377, -5.741346, 0.01966487, 0.1582343, 67.96449, 3.276824, 2.797195, 58.75611
 
0.7099996, -0.1714711, -0.04947824, 38.65594, 3.730407, 0.5116431454211863401586553991, 2482.999, -1792.747, -5.741346, 0.01966487, 0.1582343, 69.0299, 3.276824, 2.79688, 58.77108
 
0.7199996, -0.170293, -0.05119295, 39.20421, 3.735287, 0.497076551067880493081, 2559.974, -1793.117, -5.741346, 0.01966487, 0.1582343, 70.09405, 3.276824, 2.796565, 58.78605
 
0.7299996, -0.1688633, -0.05289588, 39.74759, 3.734882, 0.482589906268788011146, 2638.157, -1793.488, -5.741346, 0.01966487, 0.1582343, 71.15874, 3.276824, 2.79625, 58.80101
 
0.7399996, -0.1671643, -0.05458452, 40.29354, 3.736639, 0.4681651381361721216543446009, 2717.552, -1793.858, -5.741346, 0.01966487, 0.1582343, 72.22401, 3.276824, 2.795934, 58.81597
 
0.7499996, -0.1652093, -0.05625616, 40.85231, 3.748022, 0.453793976026498264214, 2798.581, -1794.229, -5.741346, 0.01966487, 0.1582343, 73.29538, 3.276824, 2.795619, 58.83094
 
0.7599996, -0.1629564, -0.05790825, 41.41127, 3.759174, 0.439439814684097805294, 2880.836, -1794.601, -5.741346, 0.01966487, 0.1582343, 74.36733, 3.276824, 2.795304, 58.8459
 
0.7699996, -0.1604169, -0.05953782, 41.95763, 3.758293, 0.425131601361359319674, 2964.171, -1794.972, -5.741346, 0.01966487, 0.1582343, 75.43797, 3.276824, 2.794989, 58.86087
 
0.7799996, -0.1575884, -0.06114199, 42.5044, 3.757409, 0.410877147221625342815, 3048.729, -1795.344, -5.741346, 0.01966487, 0.1582343, 76.50917, 3.276824, 2.794673, 58.87583
 
0.7899995, -0.1544524, -0.06271787, 43.05062, 3.756523, 0.396663586819390522193, 3134.364, -1795.716, -5.741346, 0.01966487, 0.1582343, 77.57909, 3.276824, 2.794358, 58.89079
 
0.7999995, -0.1510268, -0.06426239, 43.60538, 3.761908, 0.3824970465572749226473446009, 3221.525, -1796.088, -5.741346, 0.01966487, 0.1582343, 78.65329, 3.276824, 2.794043, 58.90576
 
0.8099995, -0.1472837, -0.06577266, 44.16703, 3.772847, 0.3683494981432878036663446009, 3310.071, -1796.461, -5.741346, 0.01966487, 0.1582343, 79.72988, 3.276824, 2.793728, 58.92072
 
0.8199995, -0.1432283, -0.0672455, 44.72329, 3.778, 0.3542315096219529507096553991, 3399.855, -1796.834, -5.741346, 0.01966487, 0.1582343, 80.80704, 3.276824, 2.793412, 58.93568
 
0.8299995, -0.138862, -0.06867778, 45.28111, 3.783399, 0.340150892156605241235, 3491.035, -1797.207, -5.741346, 0.01966487, 0.1582343, 81.88662, 3.276824, 2.793097, 58.95065
 
0.8399995, -0.134163, -0.0700664, 45.83115, 3.782516, 0.3261022851449553731593446009, 3583.136, -1797.58, -5.741346, 0.01966487, 0.1582343, 82.96303, 3.276824, 2.792782, 58.96561
 
0.8499995, -0.1291607, -0.07140803, 46.38635, 3.784535, 0.3121088157569044678456553991, 3676.799, -1797.953, -5.741346, 0.01966487, 0.1582343, 84.04369, 3.276824, 2.792467, 58.98058
 
0.8599995, -0.1238178, -0.07269964, 46.94824, 3.792845, 0.298145518901760330197, 3771.709, -1798.327, -5.741346, 0.01966487, 0.1582343, 85.12492, 3.276824, 2.792151, 58.99554
 
0.8699995, -0.1181534, -0.07393781, 47.50058, 3.792203, 0.2842289358666089286046553991, 3867.695, -1798.701, -5.741346, 0.01966487, 0.1582343, 86.20481, 3.276824, 2.791836, 59.01051
 
0.8799995, -0.1121684, -0.07511935, 48.05282, 3.791076, 0.27036886889563869097, 3964.926, -1799.075, -5.741346, 0.01966487, 0.1582343, 87.28525, 3.276824, 2.791521, 59.02547
 
0.8899994, -0.1058533, -0.07624103, 48.60906, 3.79358, 0.256562101627477873964, 4063.402, -1799.45, -5.741346, 0.01966487, 0.1582343, 88.36624, 3.276824, 2.791206, 59.04044
 
0.8999994, -0.09922822, -0.07729957, 49.19269, 3.816459, 0.242815526265074241981, 4164.341, -1799.824, -5.741346, 0.01966487, 0.1582343, 89.46085, 3.276824, 2.79089, 59.0554
 
0.9099994, -0.0922453, -0.07829185, 49.75738, 3.8248, 0.229098051315123193088, 4265.674, -1800.199, -5.741346, 0.01966487, 0.1582343, 90.54664, 3.276824, 2.790575, 59.07036
 
0.9199994, -0.08498929, -0.0792143, 50.29748, 3.809113, 0.215478751967183227146, 4368.086, -1800.575, -5.741346, 0.01966487, 0.1582343, 91.63111, 3.276824, 2.79026, 59.08533
 
0.9299994, -0.07740226, -0.0800642, 50.85274, 3.808227, 0.201940627453979414034, 4471.751, -1800.95, -5.741346, 0.01966487, 0.1582343, 92.71613, 3.276824, 2.789945, 59.10029
 
0.9399994, -0.06950337, -0.08083823, 51.41539, 3.813413, 0.188488119417412411171, 4576.853, -1801.326, -5.741346, 0.01966487, 0.1582343, 93.80354, 3.276824, 2.789629, 59.11525
 
0.9499994, -0.06129903, -0.08153326, 51.9941, 3.830518, 0.175125516339317336065, 4683.953, -1801.702, -5.741346, 0.01966487, 0.1582343, 94.89897, 3.276824, 2.789314, 59.13022
 
0.9599994, -0.05278985, -0.08214625, 52.5705, 3.844964, 0.161850520818711090051, 4792.327, -1802.078, -5.741346, 0.01966487, 0.1582343, 95.99492, 3.276824, 2.788999, 59.14518
 
0.9699994, -0.04400953, -0.08267415, 53.1351, 3.847251, 0.148687332145948979067, 4901.979, -1802.454, -5.741346, 0.01966487, 0.1582343, 97.0914, 3.276824, 2.788684, 59.16015
 
0.9799994, -0.03494851, -0.08311424, 53.70369, 3.85222, 0.1356431794761244869122, 5013.104, -1802.831, -5.741346, 0.01966487, 0.1582343, 98.1903, 3.276824, 2.788368, 59.17511
 
